time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1764585556005611800,-108.23338818359375,3058.172607421875,0.8999999761581421,5.1642270573843625,47.059618201633896,3008.103015899658,66.4453125,3.5293869421775677,3,11.668248979300474,0.5899999737739563
1764585664320805000,0.08180517578125,3058.172607421875,0.8999999761581421,5.1642270573843625,47.059618201633896,3008.103015899658,66.4453125,3.5293869421775677,3,11.668248979300474,0.5899999737739563
1764585664964758000,0.725758056640625,3039.87353515625,0.5099999904632568,11.526833856535912,47.0600310235481,2989.803943634033,46.7578125,13.995887033724845,12,11.669327465293387,2.859999895095825
1764585666025625000,1.786625,3041.80029296875,1,17.6345290312393,47.0601624758047,2991.730701446533,50.9765625,4.190095475901119,6,11.66941714209457,2.8499999046325684
1764585667032247000,2.7932470703125,3041.0810546875,0.9700000286102295,14.422946762742622,47.060200835465345,2991.011463165283,44.296875,3.5355084925613,3,11.669446505179703,2.75
1764585668025275000,3.78627490234375,3039.787109375,0.1599999964237213,4.407308908658135,47.06021207199538,2989.717517852783,45,3.5355253304576943,3,11.669468475331483,2.680000066757202
1764585669033516000,4.79451611328125,3038.802490234375,0.12999999523162842,3.0497516082838017,47.060241620835406,2988.732898712158,21.4453125,3.53553086828501,3,11.66948901635528,2.809999942779541
1764585670000077800,5.761077880859375,3038.513916015625,0.15000000596046448,3.5385937967103147,47.06026454680921,2988.444324493408,28.125,3.5355327176625666,3,11.669507040388813,2.809999942779541
1764585671000071700,6.76107177734375,3038.890625,0.09000000357627869,2.0104988390352223,47.06029472263689,2988.821033477783,23.90625,3.535533476447056,3,11.669522884148753,2.809999942779541
1764585672000091600,7.761091552734375,3038.6533203125,0.09000000357627869,1.8065367972573594,47.06032540099009,2988.583728790283,18.984375,3.5355337505104747,3,11.669537972752984,2.9700000286102295
1764585673000081200,8.7610810546875,3038.534423828125,0.09000000357627869,1.8156706811683705,47.06035494755278,2988.464832305908,15.8203125,3.535533849863827,3,11.669556916562895,3.359999895095825
1764585674000071200,9.7610712890625,3038.009765625,0.15000000596046448,3.002117015238486,47.06038407487941,2987.940174102783,12.3046875,3.5355338856411396,3,11.669567310549416,3.2899999618530273
1764585675000089900,10.76108984375,3037.452880859375,0.12999999523162842,2.758426751266421,47.060411714395734,2987.383289337158,21.4453125,3.3238935938278464,3,11.669578674503251,3.2899999618530273
1764585676000085000,11.7610849609375,3036.986328125,0.07999999821186066,1.5938374494271692,47.0604395077708,2986.916736602783,16.5234375,3.4583263056883173,3,11.669591734730105,3.2899999618530273
1764585677000079000,12.7610791015625,3036.9863290386274,0.3080157178018657,7.586030956019505,47.06046775760263,2986.9167375164106,16.523446512179387,3.26578674990297,4.0293644381883995,11.669604037277844,3.289999961852589
1764585678000099600,13.761099609375,3036.477295909077,0.3080157146833293,7.276396813452683,47.06049753786055,2986.40770438686,17.5781349773507,3.719410721806717,4.029364438188386,11.669616686792946,3.4300000667567057
1764585679000087800,14.761087890625,3035.736085413955,0.30801571512015014,7.258974518680686,47.06053510119718,2985.6664938917384,16.87501165878626,4.186808064136833,4.029364438188301,11.66963204387696,4.170000076293053
1764585680000074200,15.76107421875,3035.0153822898865,0.3080157153085034,7.258974518680516,47.060572330602255,2984.9457907676697,14.414072497781014,4.444744809422874,4.029364438188301,11.669643281013201,4.170000076293053
1764585681000087800,16.761087890625,3034.4943861933425,0.3080157199651695,7.258974518685139,47.060616179089266,2984.4247946711257,341.0156119340471,4.585403326100973,4.029364438188301,11.669594316802142,4.170000076293053
1764585682000078300,17.761078369140623,3034.371095791459,0.30801572916526004,7.258974518682316,47.060653155787655,2984.3015042692423,326.2499731379137,4.661328577557555,4.029364438188183,11.669546442795559,5.0199999809249585
1764585683000071200,18.7610712890625,3034.221925982274,0.308015721458454,7.258974518677657,47.0607075341837,2984.1523344600573,353.3203067190907,4.7020547380477185,4.029364438188161,11.669558221468128,5.159999847410418
1764585684000088000,19.761088134765625,3033.746584234759,0.3080157218847107,7.258974518674289,47.060754219062275,2983.6769927125424,10.54688420292265,4.723821121658968,4.029364438188151,11.669584323093503,5.219999790189899
1764585685000108000,20.76110791015625,3033.532473012805,0.30801572275625033,7.2589745186831705,47.06079901461272,2983.462881490588,12.656261290383224,4.74865153019213,4.02936443818813,11.669595557909958,5.349999904630683
1764585686000127200,21.761127197265626,3032.954103874974,0.3080157230502998,7.258974518682283,47.0608520947733,2982.884512352757,1.4062512646229546,4.74865153019213,4.02936443818813,11.669582282044983,5.349999904630683
1764585687000147700,22.761147705078123,3032.580325126648,0.30801572545812755,7.258974518678948,47.0609112369149,2982.510733604431,354.37499436377544,4.74865153019222,4.029364438188024,11.669563970843235,5.969999790189031
1764585688000167000,23.7611669921875,3032.2355995131657,0.30801573022646395,7.258974518679158,47.06097600918758,2982.166007990949,350.5078015239522,4.748651530192376,4.02936443818784,11.669544439216232,6.909999847408048
1764585689000188400,24.7611884765625,3031.547611913644,0.30801573789020714,7.258974518678962,47.06104570805753,2981.478020391427,353.3203040859788,4.748651530192487,4.029364438187709,11.669534444024551,7.5100002288766206
1764585690000206600,25.76120654296875,3031.0109908171,0.30801573953272376,7.2589745186768235,47.06111626948331,2980.941399294883,358.94531116852977,4.748651530192486,4.029364438187709,11.669539927640123,7.51000022887662
1764585691000227000,26.76122705078125,3029.956304221414,0.3080157432669146,7.258974518679576,47.06119895053233,2979.8867126991972,0.35156298699084965,4.748651530192634,4.029364438187535,11.669541489593625,8.239999771111275
