time,seconds_elapsed,z,y,x
1764585664362463200,0.123463134765625,-7.293308750200271,-6.540340511387586,-0.44941634035464373
1764585664372417300,0.133417236328125,-7.357644151988625,-6.470082149291038,-0.4165331116022542
1764585664382371000,0.14337109375,-7.428380652990937,-6.391333022224902,-0.3747100589385256
1764585664392326100,0.153326171875,-7.506988910281658,-6.3015931300669905,-0.3246959549041465
1764585664402280400,0.163280517578125,-7.594065720710158,-6.199061560875177,-0.2686573846821673
1764585664412234200,0.173234130859375,-7.689183798775076,-6.0830333812505,-0.2086757576565258
1764585664422188300,0.183188232421875,-7.790252894198894,-5.954941838866472,-0.14494403911605477
1764585664432142300,0.193142333984375,-7.897382897096872,-5.813387003797293,-0.07914668414951302
1764585664442096000,0.20309619140625,-8.01078072821796,-5.656645705512165,-0.011475588325009448
1764585664452050200,0.21305029296875,-8.126480406540631,-5.488849344727397,0.05682407631017267
1764585664462004200,0.223004150390625,-8.239681838306785,-5.3163072507202624,0.12210082320240326
1764585664471959000,0.232958984375,-8.345691897264123,-5.146495458459854,0.18274501492315903
1764585664481913300,0.242913330078125,-8.441333706942201,-4.985725050789117,0.23835984330773352
1764585664491867400,0.252867431640625,-8.526818279743194,-4.835284606213867,0.28945116638587787
1764585664501821200,0.2628212890625,-8.60049317228496,-4.699776357832551,0.33764687762036916
1764585664511775200,0.272775146484375,-8.657827170878647,-4.5894221321910615,0.3868033784447238
1764585664521729300,0.282729248046875,-8.699832667437196,-4.505048443241417,0.43339992912057784
1764585664531683300,0.292683349609375,-8.730180459427833,-4.441826555652916,0.4738223577387631
1764585664541637000,0.30263720703125,-8.753971669381857,-4.39147262520492,0.5033211682172491
1764585664551591200,0.312591064453125,-8.7751149951756,-4.347119980998337,0.5198903179632499
1764585664561546200,0.322546142578125,-8.796693789777159,-4.302617991448939,0.525392860902287
1764585664571500300,0.332500244140625,-8.820200337570904,-4.254438774691522,0.5236404642770066
1764585664581454300,0.342454345703125,-8.8483175940305,-4.197095423747599,0.5119091830162331
1764585664591408000,0.352408203125,-8.890443502098321,-4.1108176547423,0.4812241584278643
1764585664601362200,0.362362060546875,-8.929652061414718,-4.027056252472103,0.46315644068717954
1764585664611316200,0.372316162109375,-8.964049421057105,-3.9526740884438154,0.4388286396384239
1764585664621270300,0.382270263671875,-8.996143764454127,-3.8833705428540704,0.3990145156443119
1764585664631224000,0.39222412109375,-9.026239627510309,-3.818361479587853,0.34278500769380477
1764585664641179400,0.402179443359375,-9.053349168232083,-3.758897483228147,0.27917837683772667
1764585664651133200,0.41213330078125,-9.074163408201933,-3.7122710488706825,0.221328099284973
1764585664661087200,0.422087158203125,-9.086776221537589,-3.683308281497657,0.1847238224491477
1764585664671041300,0.432041259765625,-9.091580991470813,-3.6715322112470865,0.18271924116108565
1764585664680995300,0.441995361328125,-9.08821122277677,-3.6777827960744496,0.22070014011235906
1764585664690949000,0.45194921875,-9.074571989002823,-3.705805944509804,0.29922294760933144
1764585664700903200,0.461903076171875,-9.048649027717113,-3.7578497277408838,0.4134023027632385
1764585664710857200,0.471857177734375,-9.009388445952535,-3.8335058572277423,0.5527502023726701
1764585664720812300,0.481812255859375,-8.957055616647004,-3.9302804703280327,0.7031634666800498
1764585664730766300,0.491766357421875,-8.892664685279131,-4.0436487830936905,0.8601178231939673
1764585664740720400,0.501720458984375,-8.818033514925837,-4.166913928234577,1.0244495766080914
1764585664750674200,0.511674072265625,-8.74061242159307,-4.2868882151365275,1.1809618884429336
1764585664760628200,0.521628173828125,-8.668315247145294,-4.393306270372867,1.3151283668264746
1764585664770582300,0.531582275390625,-8.605331844487786,-4.480599061639607,1.4292958671458065
1764585664780536000,0.5415361328125,-8.556903036883472,-4.545084977814555,1.513934344511479
1764585664790489900,0.55148974609375,-8.541711312970518,-4.564395535223186,1.5413773549713194
1764585664800445000,0.56144482421875,-8.551476920181512,-4.5480593174502255,1.535506270980835
1764585664810398700,0.571398681640625,-8.575170514979957,-4.512183701948821,1.5089844670191406
1764585664820353000,0.58135302734375,-8.60377760078311,-4.470930777323246,1.468391759867966
1764585664830307000,0.59130712890625,-8.629841431844234,-4.435448252792656,1.422330704308301
1764585664840260900,0.6012607421875,-8.649502994647621,-4.411631031614542,1.3762253712154924
1764585664850215000,0.61121484375,-8.657818403050303,-4.406503605598211,1.339884476289898
1764585664860169000,0.6211689453125,-8.650649826595187,-4.425374602545798,1.3238972180850803
1764585664870123000,0.631123046875,-8.629936708912252,-4.464341462060809,1.328245914813876
1764585664880077800,0.641077880859375,-8.59971283556223,-4.51617774002105,1.348875884258002
1764585664890031900,0.651031982421875,-8.559645613589883,-4.579244729308784,1.3904586253598332
1764585664899986000,0.66098583984375,-8.513806237956882,-4.647571538820863,1.4441481299713252
1764585664909940000,0.67093994140625,-8.467605043274164,-4.715616901043057,1.4943245118953288
1764585664919894000,0.68089404296875,-8.424774201807379,-4.781015255887806,1.528220351756364
1764585664929848000,0.69084814453125,-8.386006956517695,-4.843095572225749,1.5458654601708053
1764585664939801900,0.7008017578125,-8.349266248619555,-4.903382867667078,1.554659884262085
1764585664949757000,0.7107568359375,-8.312651797449588,-4.963458858445287,1.5602179567806422
1764585664959710700,0.720710693359375,-8.277592174506188,-5.020580091071128,1.5638498835422097
1764585664969664800,0.730664794921875,-8.244534539034962,-5.074228679150343,1.5653227325737475
1764585664979619000,0.740619140625,-8.210866662710904,-5.127215588450431,1.5696233523771166
1764585664989573000,0.750572998046875,-8.176625954934954,-5.179388843280076,1.5770556943349539
