time,seconds_elapsed,z,y,x
1764585664336334300,0.097334228515625,-0.55267333984375,-0.7203826904296875,-0.0300140380859375
1764585664346288000,0.1072880859375,-0.56927490234375,-0.7227935791015625,-0.0228271484375
1764585664356242200,0.1172421875,-0.5925140380859375,-0.7039031982421875,-0.0202789306640625
1764585664366196200,0.1271962890625,-0.6200103759765625,-0.6636505126953125,-0.027252197265625
1764585664376150000,0.13714990234375,-0.6512451171875,-0.61810302734375,-0.0427398681640625
1764585664386104000,0.14710400390625,-0.6785888671875,-0.574371337890625,-0.057708740234375
1764585664396058400,0.157058349609375,-0.6905517578125,-0.5327606201171875,-0.0713043212890625
1764585664406013200,0.16701318359375,-0.6983642578125,-0.4998779296875,-0.0798187255859375
1764585664415967200,0.17696728515625,-0.7132720947265625,-0.4841461181640625,-0.0825042724609375
1764585664425921300,0.18692138671875,-0.737640380859375,-0.4888458251953125,-0.077850341796875
1764585664435875000,0.196875,-0.749969482421875,-0.500457763671875,-0.0762176513671875
1764585664445829000,0.2068291015625,-0.764495849609375,-0.5096282958984375,-0.0706329345703125
1764585664455783200,0.216783203125,-0.780792236328125,-0.504730224609375,-0.0573577880859375
1764585664465737200,0.2267373046875,-0.795806884765625,-0.492340087890625,-0.038787841796875
1764585664475691300,0.236691162109375,-0.823516845703125,-0.4852294921875,-0.0240020751953125
1764585664485645300,0.246645263671875,-0.853912353515625,-0.479339599609375,-0.0112152099609375
1764585664495600000,0.25660009765625,-0.8775177001953125,-0.455047607421875,-0.0001220703125
1764585664505554200,0.26655419921875,-0.9152374267578125,-0.4503631591796875,0.0103912353515625
1764585664515508200,0.27650830078125,-0.9582366943359375,-0.474884033203125,0.017791748046875
1764585664525462300,0.286462158203125,-0.9776153564453125,-0.514739990234375,0.0095062255859375
1764585664535416000,0.296416015625,-0.9776153564453125,-0.560089111328125,0.0019073486328125
1764585664545370000,0.3063701171875,-0.96832275390625,-0.587066650390625,-0.0040740966796875
1764585664555324400,0.316324462890625,-0.946807861328125,-0.5699920654296875,-0.01336669921875
1764585664565278200,0.3262783203125,-0.9115142822265625,-0.510589599609375,-0.0102386474609375
1764585664575233300,0.3362333984375,-0.8831329345703125,-0.4584503173828125,0.01605224609375
1764585664585187000,0.34618701171875,-0.8449249267578125,-0.4492645263671875,0.04046630859375
1764585664595141000,0.35614111328125,-0.80224609375,-0.306427001953125,-0.023834228515625
1764585664605095200,0.36609521484375,-0.9496002197265625,-0.304962158203125,-0.02471923828125
1764585664615049200,0.37604931640625,-0.9878997802734375,-0.471282958984375,0.09100341796875
1764585664625003000,0.3860029296875,-1.0175018310546875,-0.477264404296875,0.064483642578125
1764585664634957300,0.395957275390625,-1.019134521484375,-0.4690704345703125,0.067138671875
1764585664644911400,0.405911376953125,-1.0497589111328125,-0.4701690673828125,0.1011199951171875
1764585664654866200,0.4158662109375,-1.05499267578125,-0.4314727783203125,0.10125732421875
1764585664664820200,0.4258203125,-1.0304412841796875,-0.4008026123046875,0.1059722900390625
1764585664674774300,0.435774169921875,-1.0081329345703125,-0.388397216796875,0.1085968017578125
1764585664684728000,0.44572802734375,-1.0052337646484375,-0.3831939697265625,0.1000213623046875
1764585664694682000,0.45568212890625,-1.0377655029296875,-0.3887786865234375,0.1021728515625
1764585664704636400,0.465636474609375,-1.05047607421875,-0.38226318359375,0.09954833984375
1764585664714590200,0.475590087890625,-1.0319976806640625,-0.3655548095703125,0.1009521484375
1764585664724544300,0.485544189453125,-1.0043792724609375,-0.36273193359375,0.0832672119140625
1764585664734499300,0.495499267578125,-0.9761962890625,-0.3594512939453125,0.056427001953125
1764585664744453000,0.505453125,-0.9355926513671875,-0.35888671875,0.052032470703125
1764585664754407200,0.5154072265625,-0.893768310546875,-0.3993377685546875,0.0872344970703125
1764585664764361200,0.525361328125,-0.850311279296875,-0.4436492919921875,0.0919036865234375
1764585664774315000,0.53531494140625,-0.8341522216796875,-0.4698638916015625,0.1114654541015625
1764585664784268800,0.545268798828125,-0.83587646484375,-0.482666015625,0.1687774658203125
1764585664794222800,0.555222900390625,-0.78985595703125,-0.4852294921875,0.151214599609375
1764585664804177000,0.565177001953125,-0.8601226806640625,-0.449676513671875,0.0978546142578125
1764585664814132000,0.575132080078125,-0.9029693603515625,-0.4322052001953125,0.0931396484375
1764585664824086000,0.5850859375,-0.939208984375,-0.4289398193359375,0.1089019775390625
1764585664834039800,0.595039794921875,-0.968475341796875,-0.4290771484375,0.129974365234375
1764585664843993900,0.604993896484375,-0.9844970703125,-0.4197845458984375,0.15533447265625
1764585664853948000,0.614947998046875,-1.017303466796875,-0.41064453125,0.16265869140625
1764585664863902000,0.62490185546875,-1.043243408203125,-0.425567626953125,0.1911163330078125
1764585664873855700,0.634855712890625,-1.0213623046875,-0.419952392578125,0.199310302734375
1764585664883810000,0.64481005859375,-0.9876251220703125,-0.4156036376953125,0.166046142578125
1764585664893764900,0.654764892578125,-0.9619903564453125,-0.4331512451171875,0.1423187255859375
1764585664903719000,0.664718994140625,-0.9188079833984375,-0.4586029052734375,0.13592529296875
1764585664913673000,0.6746728515625,-0.876983642578125,-0.478240966796875,0.1436614990234375
1764585664923627000,0.684626953125,-0.8335113525390625,-0.4627532958984375,0.156341552734375
1764585664933580800,0.694580810546875,-0.8123626708984375,-0.4488983154296875,0.1640777587890625
1764585664943534800,0.704534912109375,-0.8132476806640625,-0.4425811767578125,0.1567840576171875
1764585664953489000,0.714489013671875,-0.8152008056640625,-0.4448089599609375,0.1383819580078125
1764585664963443000,0.72444287109375,-0.8135223388671875,-0.4577178955078125,0.126495361328125
1764585664973398000,0.73439794921875,-0.8300628662109375,-0.487548828125,0.1343994140625
1764585664983352000,0.74435205078125,-0.850067138671875,-0.4921875,0.133758544921875
1764585664993305900,0.754305908203125,-0.8306121826171875,-0.5030517578125,0.141357421875
1764585665003260000,0.764260009765625,-0.8103179931640625,-0.4964141845703125,0.159454345703125
1764585665013214000,0.7742138671875,-0.80633544921875,-0.48712158203125,0.185638427734375
1764585665023167700,0.784167724609375,-0.8095245361328125,-0.483612060546875,0.2080535888671875
1764585665033121800,0.794121826171875,-0.8033905029296875,-0.48712158203125,0.202239990234375
1764585665043077000,0.8040771484375,-0.8019256591796875,-0.509857177734375,0.196868896484375
1764585665053031000,0.814031005859375,-0.790191650390625,-0.5318450927734375,0.201568603515625
1764585665062985000,0.82398486328125,-0.769775390625,-0.5478668212890625,0.2099761962890625
1764585665072939000,0.83393896484375,-0.764862060546875,-0.5569000244140625,0.215301513671875
1764585665082892800,0.843892822265625,-0.81085205078125,-0.5901031494140625,0.224151611328125
1764585665092846800,0.853846923828125,-0.8756866455078125,-0.5860595703125,0.222930908203125
1764585665102801000,0.86380078125,-0.916534423828125,-0.530517578125,0.249725341796875
1764585665112755000,0.8737548828125,-0.9300537109375,-0.4970245361328125,0.2691802978515625
1764585665122710000,0.8837099609375,-0.9254302978515625,-0.504241943359375,0.2546539306640625
1764585665132664000,0.8936640625,-0.904083251953125,-0.51416015625,0.21221923828125
1764585665142617900,0.903617919921875,-0.880035400390625,-0.5445709228515625,0.156341552734375
1764585665152572000,0.913572021484375,-0.8400115966796875,-0.5665740966796875,0.0875091552734375
1764585665162526000,0.92352587890625,-0.778228759765625,-0.5692596435546875,0.0708770751953125
1764585665172479700,0.933479736328125,-0.74090576171875,-0.5910797119140625,0.0741729736328125
1764585665182433800,0.943433837890625,-0.7158355712890625,-0.614288330078125,0.079559326171875
1764585665192387800,0.953387939453125,-0.7054290771484375,-0.626312255859375,0.07196044921875
1764585665202343000,0.963343017578125,-0.7150115966796875,-0.62872314453125,0.0759124755859375
1764585665212297000,0.973296875,-0.7355194091796875,-0.6255340576171875,0.0852813720703125
1764585665222251000,0.9832509765625,-0.775482177734375,-0.6344146728515625,0.096282958984375
1764585665232204800,0.993204833984375,-0.8292999267578125,-0.63922119140625,0.1177215576171875
1764585665242158800,1.003158935546875,-0.865478515625,-0.6257171630859375,0.138641357421875
1764585665252113000,1.01311279296875,-0.88446044921875,-0.62445068359375,0.1538848876953125
1764585665262067000,1.02306689453125,-0.88702392578125,-0.629913330078125,0.16546630859375
1764585665272022000,1.03302197265625,-0.8820953369140625,-0.6460723876953125,0.1746063232421875
1764585665281976000,1.04297607421875,-0.880401611328125,-0.6668243408203125,0.161895751953125
1764585665291929900,1.052929931640625,-0.8520965576171875,-0.6216888427734375,0.2042236328125
1764585665301884000,1.0628837890625,-0.857208251953125,-0.6212158203125,0.231689453125
1764585665311838000,1.072837890625,-0.8669281005859375,-0.6229095458984375,0.2634735107421875
1764585665321792000,1.0827919921875,-0.8630828857421875,-0.602691650390625,0.3047637939453125
1764585665331745800,1.092745849609375,-0.8550262451171875,-0.5925140380859375,0.308837890625
1764585665341699800,1.102699951171875,-0.827423095703125,-0.588623046875,0.2810821533203125
1764585665351655000,1.112655029296875,-0.7919921875,-0.575897216796875,0.2479095458984375
1764585665361609000,1.12260888671875,-0.727447509765625,-0.4871673583984375,0.289459228515625
1764585665371563000,1.13256298828125,-0.77630615234375,-0.56768798828125,0.2281341552734375
1764585665381517000,1.14251708984375,-0.8333740234375,-0.6562957763671875,0.1628265380859375
1764585665391470800,1.152470947265625,-0.8472137451171875,-0.6456451416015625,0.160675048828125
1764585665401425000,1.1624248046875,-0.85467529296875,-0.636749267578125,0.172027587890625
1764585665411379000,1.17237890625,-0.8329925537109375,-0.6089630126953125,0.2095184326171875
1764585665421332700,1.182332763671875,-0.752655029296875,-0.5523681640625,0.241424560546875
1764585665431288000,1.1922880859375,-0.7598724365234375,-0.666168212890625,0.140716552734375
1764585665441241900,1.202241943359375,-0.74847412109375,-0.7491455078125,0.04217529296875
1764585665451196000,1.21219580078125,-0.69830322265625,-0.7335357666015625,0.0332794189453125
1764585665461150000,1.22214990234375,-0.6505279541015625,-0.6891021728515625,0.09051513671875
1764585665471104000,1.23210400390625,-0.6473846435546875,-0.6886444091796875,0.126373291015625
1764585665481057800,1.242057861328125,-0.6611328125,-0.6811981201171875,0.1678314208984375
1764585665491011800,1.25201171875,-0.665924072265625,-0.66375732421875,0.170166015625
1764585665500967000,1.261966796875,-0.6821746826171875,-0.67999267578125,0.1175384521484375
1764585665510921000,1.2719208984375,-0.6841888427734375,-0.6898040771484375,0.0669403076171875
1764585665520875000,1.281875,-0.658660888671875,-0.67144775390625,0.0582275390625
1764585665530829000,1.2918291015625,-0.6381378173828125,-0.6607208251953125,0.0845489501953125
1764585665540781000,1.301781005859375,-0.6079254150390625,-0.6491546630859375,0.1212921142578125
1764585665550735000,1.311735107421875,-0.5848846435546875,-0.661468505859375,0.149444580078125
1764585665560689000,1.32168896484375,-0.55609130859375,-0.664459228515625,0.1650390625
1764585665570643000,1.331642822265625,-0.5538330078125,-0.68548583984375,0.1325531005859375
1764585665580597000,1.341596923828125,-0.5551605224609375,-0.678497314453125,0.1109161376953125
1764585665590551800,1.3515517578125,-0.576019287109375,-0.6465911865234375,0.1049652099609375
1764585665600505900,1.361505859375,-0.63653564453125,-0.629425048828125,0.0944671630859375
1764585665610460200,1.371460205078125,-0.6966400146484375,-0.6163482666015625,0.0865478515625
