time,seconds_elapsed,relativeAltitude,pressure
1764585663780992300,-0.4580078125,0,703.3601379394531
1764585664785728300,0.546728271484375,0.058349609375,703.3549499511719
1764585665790521000,1.55152099609375,0,703.3601379394531
1764585666795292200,2.556292236328125,-0.015625,703.3615875244141
1764585667800062200,3.561062255859375,-0.044921875,703.3639526367188
1764585668152402200,3.913402099609375,-0.11083984375,703.3700561523438
1764585669224102100,4.98510205078125,-0.139892578125,703.3726501464844
1764585670295768300,6.056768310546875,-0.330078125,703.3895874023438
1764585671367415300,7.128415283203125,-0.48876953125,703.4037780761719
1764585672439078100,8.200078125,-0.7080078125,703.4235382080078
1764585673510792200,9.271792236328125,-0.943115234375,703.4445190429688
1764585674582480100,10.343480224609374,-1.194091796875,703.4668731689453
1764585675654193200,11.415193115234375,-1.392333984375,703.4845733642578
1764585676725948200,12.4869482421875,-1.680419921875,703.5102844238281
1764585677797613000,13.558613037109374,-2.029296875,703.5415649414062
1764585678869287200,14.630287109375,-2.42822265625,703.5772705078125
1764585679940978200,15.701978271484375,-2.890625,703.6185455322266
1764585681012675300,16.77367529296875,-3.37939453125,703.6621856689453
1764585682084341200,17.84534130859375,-3.833984375,703.7028503417969
1764585683156028200,18.917028076171874,-4.346435546875,703.748779296875
1764585684227634200,19.98863427734375,-4.859130859375,703.7946319580078
1764585685299286000,21.0602861328125,-5.387451171875,703.8417816162109
1764585686370927000,22.131927001953127,-6.027099609375,703.8990020751953
1764585687442600200,23.20360009765625,-6.803955078125,703.968505859375
1764585688514255400,24.27525537109375,-7.776123046875,704.0555572509766
1764585689585925000,25.346925048828126,-8.84375,704.1509246826172
1764585690657573000,26.418572998046876,-9.964111328125,704.2513275146484
1764585691729216000,27.490216064453126,-11.11083984375,704.3537902832031
1764585692800886300,28.56188623046875,-12.3447265625,704.4641876220703
1764585693872621000,29.63362109375,-13.58935546875,704.5756530761719
1764585694944363000,30.705363037109375,-14.5908203125,704.6653747558594
1764585696016118300,31.7771181640625,-15.634521484375,704.7588348388672
1764585697087842300,32.84884228515625,-16.765380859375,704.8600006103516
1764585698159563000,33.92056298828125,-17.84619140625,704.9568939208984
1764585699231256300,34.99225634765625,-18.75244140625,705.037841796875
1764585700302935000,36.06393505859375,-19.7275390625,705.1252746582031
1764585701374600200,37.13560009765625,-20.649658203125,705.2079772949219
1764585702446284300,38.2072841796875,-21.407958984375,705.27587890625
1764585703517945300,39.2789453125,-22.0078125,705.3294372558594
1764585704589646000,40.35064599609375,-22.6181640625,705.3841400146484
1764585705661430000,41.42242993164062,-23.180908203125,705.4347229003906
1764585706733199000,42.49419921875,-23.74365234375,705.4850769042969
1764585707804966100,43.56596606445312,-24.314453125,705.5362701416016
1764585708876718300,44.63771826171875,-24.953857421875,705.5934906005859
1764585709948458200,45.70945825195312,-25.57763671875,705.6494903564453
1764585711020211200,46.78121118164062,-26.2353515625,705.7085418701172
1764585712091938300,47.85293823242188,-26.872314453125,705.765380859375
1764585713163702300,48.924702392578126,-27.466796875,705.8186340332031
1764585714235467300,49.99646728515625,-28.048095703125,705.8709716796875
1764585715307268000,51.06826806640625,-28.552734375,705.9161376953125
1764585716379034400,52.140034423828126,-28.978271484375,705.9543609619141
1764585717450813200,53.211813232421875,-29.448486328125,705.9965515136719
1764585718522677200,54.28367724609375,-29.659912109375,706.0154724121094
1764585719594535200,55.35553515625,-29.871337890625,706.0343933105469
1764585720666282200,56.4272822265625,-30.148681640625,706.0592651367188
1764585721737989000,57.498989013671874,-30.481689453125,706.0890960693359
1764585722809706200,58.57070629882813,-30.862060546875,706.1231231689453
1764585723881425200,59.64242504882812,-31.33251953125,706.1653900146484
1764585724953132000,60.71413208007812,-31.823974609375,706.2094116210938
1764585726024872200,61.7858720703125,-32.201904296875,706.2434387207031
1764585727096614100,62.8576142578125,-32.5322265625,706.2730407714844
1764585728168316200,63.92931616210937,-32.7646484375,706.2938690185547
1764585729240064300,65.00106420898437,-33.126708984375,706.3261413574219
1764585730311791000,66.072791015625,-33.5546875,706.3646697998047
1764585731383497200,67.14449731445312,-33.99853515625,706.4044189453125
1764585732455252200,68.21625219726562,-34.51123046875,706.4505767822266
1764585733526986200,69.287986328125,-35.14794921875,706.507568359375
1764585734598730000,70.35972998046876,-35.798095703125,706.5660095214844
1764585735670488000,71.43148803710938,-36.580078125,706.6361999511719
1764585736742229200,72.50322924804688,-37.531494140625,706.7214202880859
1764585737813901300,73.5749013671875,-38.593505859375,706.8168640136719
1764585738885645000,74.64664501953125,-39.748291015625,706.9203186035156
1764585739957510100,75.71851025390625,-40.860595703125,707.020263671875
1764585741029336300,76.79033642578125,-42.187255859375,707.1394348144531
1764585742101176300,77.86217626953125,-43.576904296875,707.2641754150391
1764585743173018000,78.93401806640625,-45.117431640625,707.4024963378906
1764585744244835000,80.0058349609375,-46.80322265625,707.5538635253906
1764585745316629200,81.07762915039062,-48.687255859375,707.7229309082031
1764585746388475100,82.14947509765625,-50.3994140625,707.8768920898438
1764585747460301000,83.22130102539063,-52.23583984375,708.0418395996094
1764585748532094200,84.29309423828126,-53.998291015625,708.2003784179688
1764585749603932200,85.36493212890625,-55.647216796875,708.3486175537109
1764585750675779000,86.43677905273438,-57.285400390625,708.4957885742188
1764585751747588000,87.50858813476563,-59.095458984375,708.6585998535156
1764585752819348200,88.58034814453126,-60.675537109375,708.8007354736328
1764585753891101200,89.65210107421875,-62.416748046875,708.95751953125
1764585754962792200,90.72379223632812,-64.2373046875,709.1211700439453
1764585756034446300,91.7954462890625,-66.29833984375,709.3067169189453
